-------------------------------------------------------------------------------
Model constraints: 1818, variables: integer: 580, interval: 600, sequence: 10
Solve status: Feasible
Search status: SearchStopped, stop cause: SearchStoppedByLimit
Solve time: 60.46 sec
-------------------------------------------------------------------------------
Objective values: (9,), bounds: (2,), gaps: (0.777778,)
edt_0,0=40
edt_0,1=40
edt_0,2=40
edt_0,3=40
edt_0,4=40
edt_0,5=40
edt_0,6=40
edt_0,7=40
edt_0,8=40
edt_0,9=40
edt_1,0=40
edt_1,1=40
edt_1,2=40
edt_1,3=40
edt_1,4=40
edt_1,5=40
edt_1,6=40
edt_1,7=40
edt_1,8=40
edt_1,9=40
edt_2,0=40
edt_2,1=40
edt_2,2=40
edt_2,3=40
edt_2,4=40
edt_2,5=40
edt_2,6=80
edt_2,7=40
edt_2,8=40
edt_2,9=40
edt_3,0=44
edt_3,1=44
edt_3,2=44
edt_3,3=44
edt_3,4=44
edt_3,5=44
edt_3,6=84
edt_3,7=84
edt_3,8=44
edt_3,9=44
edt_4,0=44
edt_4,1=44
edt_4,2=44
edt_4,3=44
edt_4,4=44
edt_4,5=44
edt_4,6=84
edt_4,7=84
edt_4,8=84
edt_4,9=44
edt_5,0=48
edt_5,1=48
edt_5,2=48
edt_5,3=48
edt_5,4=48
edt_5,5=48
edt_5,6=88
edt_5,7=88
edt_5,8=88
edt_5,9=48
edt_6,0=48
edt_6,1=48
edt_6,2=48
edt_6,3=48
edt_6,4=48
edt_6,5=48
edt_6,6=132
edt_6,7=88
edt_6,8=88
edt_6,9=48
edt_7,0=48
edt_7,1=48
edt_7,2=48
edt_7,3=48
edt_7,4=48
edt_7,5=48
edt_7,6=132
edt_7,7=88
edt_7,8=132
edt_7,9=48
edt_8,0=48
edt_8,1=48
edt_8,2=48
edt_8,3=48
edt_8,4=48
edt_8,5=48
edt_8,6=132
edt_8,7=88
edt_8,8=132
edt_8,9=48
edt_9,0=52
edt_9,1=52
edt_9,2=52
edt_9,3=52
edt_9,4=52
edt_9,5=52
edt_9,6=136
edt_9,7=140
edt_9,8=136
edt_9,9=52
edt_10,0=52
edt_10,1=52
edt_10,2=52
edt_10,3=52
edt_10,4=52
edt_10,5=52
edt_10,6=184
edt_10,7=140
edt_10,8=136
edt_10,9=52
edt_11,0=52
edt_11,1=52
edt_11,2=52
edt_11,3=52
edt_11,4=52
edt_11,5=100
edt_11,6=184
edt_11,7=140
edt_11,8=184
edt_11,9=52
edt_12,0=52
edt_12,1=52
edt_12,2=52
edt_12,3=52
edt_12,4=52
edt_12,5=100
edt_12,6=184
edt_12,7=140
edt_12,8=184
edt_12,9=52
edt_13,0=52
edt_13,1=52
edt_13,2=52
edt_13,3=52
edt_13,4=52
edt_13,5=100
edt_13,6=184
edt_13,7=192
edt_13,8=184
edt_13,9=52
edt_14,0=52
edt_14,1=52
edt_14,2=52
edt_14,3=52
edt_14,4=52
edt_14,5=100
edt_14,6=236
edt_14,7=192
edt_14,8=184
edt_14,9=52
edt_15,0=52
edt_15,1=52
edt_15,2=52
edt_15,3=52
edt_15,4=52
edt_15,5=100
edt_15,6=236
edt_15,7=192
edt_15,8=236
edt_15,9=52
edt_16,0=52
edt_16,1=52
edt_16,2=52
edt_16,3=52
edt_16,4=52
edt_16,5=152
edt_16,6=236
edt_16,7=192
edt_16,8=236
edt_16,9=52
edt_17,0=44
edt_17,1=44
edt_17,2=44
edt_17,3=44
edt_17,4=44
edt_17,5=144
edt_17,6=228
edt_17,7=236
edt_17,8=228
edt_17,9=44
edt_18,0=44
edt_18,1=44
edt_18,2=44
edt_18,3=44
edt_18,4=44
edt_18,5=144
edt_18,6=280
edt_18,7=236
edt_18,8=228
edt_18,9=44
edt_19,0=44
edt_19,1=44
edt_19,2=44
edt_19,3=44
edt_19,4=44
edt_19,5=144
edt_19,6=280
edt_19,7=236
edt_19,8=228
edt_19,9=96
edt_20,0=44
edt_20,1=44
edt_20,2=44
edt_20,3=44
edt_20,4=44
edt_20,5=188
edt_20,6=280
edt_20,7=236
edt_20,8=280
edt_20,9=96
edt_21,0=44
edt_21,1=44
edt_21,2=44
edt_21,3=44
edt_21,4=44
edt_21,5=188
edt_21,6=280
edt_21,7=280
edt_21,8=280
edt_21,9=96
edt_22,0=44
edt_22,1=44
edt_22,2=44
edt_22,3=44
edt_22,4=44
edt_22,5=188
edt_22,6=280
edt_22,7=280
edt_22,8=280
edt_22,9=140
edt_23,0=44
edt_23,1=44
edt_23,2=44
edt_23,3=44
edt_23,4=44
edt_23,5=232
edt_23,6=280
edt_23,7=280
edt_23,8=280
edt_23,9=140
edt_24,0=44
edt_24,1=44
edt_24,2=44
edt_24,3=44
edt_24,4=44
edt_24,5=232
edt_24,6=324
edt_24,7=280
edt_24,8=280
edt_24,9=140
edt_25,0=44
edt_25,1=44
edt_25,2=44
edt_25,3=44
edt_25,4=44
edt_25,5=232
edt_25,6=324
edt_25,7=280
edt_25,8=324
edt_25,9=140
edt_26,0=44
edt_26,1=44
edt_26,2=44
edt_26,3=44
edt_26,4=44
edt_26,5=276
edt_26,6=324
edt_26,7=280
edt_26,8=324
edt_26,9=140
edt_27,0=44
edt_27,1=44
edt_27,2=44
edt_27,3=44
edt_27,4=44
edt_27,5=276
edt_27,6=368
edt_27,7=280
edt_27,8=324
edt_27,9=140
edt_28,0=44
edt_28,1=44
edt_28,2=44
edt_28,3=44
edt_28,4=44
edt_28,5=276
edt_28,6=368
edt_28,7=324
edt_28,8=324
edt_28,9=140
edt_29,0=44
edt_29,1=44
edt_29,2=44
edt_29,3=44
edt_29,4=44
edt_29,5=276
edt_29,6=368
edt_29,7=324
edt_29,8=324
edt_29,9=184
edt_30,0=44
edt_30,1=44
edt_30,2=44
edt_30,3=44
edt_30,4=44
edt_30,5=276
edt_30,6=368
edt_30,7=324
edt_30,8=368
edt_30,9=184
edt_31,0=48
edt_31,1=48
edt_31,2=92
edt_31,3=48
edt_31,4=48
edt_31,5=280
edt_31,6=372
edt_31,7=328
edt_31,8=372
edt_31,9=188
edt_32,0=48
edt_32,1=48
edt_32,2=92
edt_32,3=48
edt_32,4=92
edt_32,5=280
edt_32,6=372
edt_32,7=328
edt_32,8=372
edt_32,9=188
edt_33,0=48
edt_33,1=48
edt_33,2=92
edt_33,3=48
edt_33,4=92
edt_33,5=280
edt_33,6=372
edt_33,7=328
edt_33,8=372
edt_33,9=232
edt_34,0=48
edt_34,1=48
edt_34,2=92
edt_34,3=48
edt_34,4=92
edt_34,5=328
edt_34,6=372
edt_34,7=328
edt_34,8=372
edt_34,9=232
edt_35,0=48
edt_35,1=48
edt_35,2=92
edt_35,3=48
edt_35,4=140
edt_35,5=328
edt_35,6=372
edt_35,7=328
edt_35,8=372
edt_35,9=232
edt_36,0=48
edt_36,1=48
edt_36,2=92
edt_36,3=48
edt_36,4=140
edt_36,5=328
edt_36,6=372
edt_36,7=328
edt_36,8=372
edt_36,9=280
edt_37,0=48
edt_37,1=48
edt_37,2=92
edt_37,3=48
edt_37,4=140
edt_37,5=376
edt_37,6=372
edt_37,7=328
edt_37,8=372
edt_37,9=280
edt_38,0=52
edt_38,1=52
edt_38,2=96
edt_38,3=52
edt_38,4=192
edt_38,5=380
edt_38,6=376
edt_38,7=332
edt_38,8=376
edt_38,9=284
edt_39,0=52
edt_39,1=52
edt_39,2=144
edt_39,3=52
edt_39,4=192
edt_39,5=380
edt_39,6=376
edt_39,7=332
edt_39,8=376
edt_39,9=284
edt_40,0=52
edt_40,1=100
edt_40,2=144
edt_40,3=52
edt_40,4=192
edt_40,5=380
edt_40,6=376
edt_40,7=332
edt_40,8=376
edt_40,9=284
edt_41,0=52
edt_41,1=100
edt_41,2=144
edt_41,3=52
edt_41,4=192
edt_41,5=380
edt_41,6=376
edt_41,7=332
edt_41,8=376
edt_41,9=284
edt_42,0=52
edt_42,1=100
edt_42,2=144
edt_42,3=52
edt_42,4=192
edt_42,5=380
edt_42,6=376
edt_42,7=332
edt_42,8=376
edt_42,9=336
edt_43,0=52
edt_43,1=100
edt_43,2=196
edt_43,3=52
edt_43,4=192
edt_43,5=380
edt_43,6=376
edt_43,7=332
edt_43,8=376
edt_43,9=336
edt_44,0=52
edt_44,1=152
edt_44,2=196
edt_44,3=52
edt_44,4=192
edt_44,5=380
edt_44,6=376
edt_44,7=332
edt_44,8=376
edt_44,9=336
edt_45,0=96
edt_45,1=144
edt_45,2=188
edt_45,3=44
edt_45,4=236
edt_45,5=372
edt_45,6=368
edt_45,7=324
edt_45,8=368
edt_45,9=328
edt_46,0=96
edt_46,1=144
edt_46,2=240
edt_46,3=44
edt_46,4=236
edt_46,5=372
edt_46,6=368
edt_46,7=324
edt_46,8=368
edt_46,9=328
edt_47,0=140
edt_47,1=196
edt_47,2=240
edt_47,3=44
edt_47,4=236
edt_47,5=372
edt_47,6=368
edt_47,7=324
edt_47,8=368
edt_47,9=328
edt_48,0=140
edt_48,1=196
edt_48,2=284
edt_48,3=44
edt_48,4=236
edt_48,5=372
edt_48,6=368
edt_48,7=324
edt_48,8=368
edt_48,9=328
edt_49,0=140
edt_49,1=196
edt_49,2=284
edt_49,3=44
edt_49,4=236
edt_49,5=372
edt_49,6=368
edt_49,7=324
edt_49,8=368
edt_49,9=328
edt_50,0=140
edt_50,1=240
edt_50,2=284
edt_50,3=44
edt_50,4=236
edt_50,5=372
edt_50,6=368
edt_50,7=324
edt_50,8=368
edt_50,9=328
edt_51,0=184
edt_51,1=240
edt_51,2=284
edt_51,3=44
edt_51,4=280
edt_51,5=372
edt_51,6=368
edt_51,7=324
edt_51,8=368
edt_51,9=328
edt_52,0=184
edt_52,1=284
edt_52,2=284
edt_52,3=44
edt_52,4=280
edt_52,5=372
edt_52,6=368
edt_52,7=324
edt_52,8=368
edt_52,9=328
edt_53,0=180
edt_53,1=280
edt_53,2=324
edt_53,3=40
edt_53,4=276
edt_53,5=368
edt_53,6=364
edt_53,7=320
edt_53,8=364
edt_53,9=324
edt_54,0=224
edt_54,1=280
edt_54,2=324
edt_54,3=40
edt_54,4=276
edt_54,5=368
edt_54,6=364
edt_54,7=320
edt_54,8=364
edt_54,9=324
edt_55,0=264
edt_55,1=320
edt_55,2=324
edt_55,3=40
edt_55,4=276
edt_55,5=368
edt_55,6=364
edt_55,7=320
edt_55,8=364
edt_55,9=324
edt_56,0=264
edt_56,1=360
edt_56,2=324
edt_56,3=40
edt_56,4=276
edt_56,5=368
edt_56,6=364
edt_56,7=320
edt_56,8=364
edt_56,9=324
edt_57,0=264
edt_57,1=360
edt_57,2=324
edt_57,3=40
edt_57,4=276
edt_57,5=368
edt_57,6=364
edt_57,7=320
edt_57,8=364
edt_57,9=324
BreakTime_0: (start=1345, end=1375, size=30, length=30)
BreakTime_1: (start=1234, end=1264, size=30, length=30)
BreakTime_2: (start=1149, end=1179, size=30, length=30)
BreakTime_3: (start=0, end=30, size=30, length=30)
BreakTime_4: (start=1194, end=1224, size=30, length=30)
BreakTime_5: (start=754, end=784, size=30, length=30)
BreakTime_6: (start=617, end=647, size=30, length=30)
BreakTime_7: (start=669, end=699, size=30, length=30)
BreakTime_8: (start=647, end=677, size=30, length=30)
BreakTime_9: (start=923, end=953, size=30, length=30)
Duty_0: (start=1025, end=1460, size=435, length=435)
Duty_1: (start=945, end=1425, size=480, length=480)
Duty_2: (start=795, end=1259, size=464, length=464)
Duty_3: absent
Duty_4: (start=810, end=1194, size=384, length=384)
Duty_5: (start=465, end=943, size=478, length=478)
Duty_6: (start=300, end=769, size=469, length=469)
Duty_7: (start=320, end=789, size=469, length=469)
Duty_8: (start=355, end=819, size=464, length=464)
Duty_9: (start=580, end=1012, size=432, length=432)
Trip_00 | Duty_00: absent
Trip_00 | Duty_01: absent
Trip_00 | Duty_02: absent
Trip_00 | Duty_03: absent
