-------------------------------------------------------------------------------
Model constraints: 302, variables: integer: 0, interval: 7650, sequence: 50
Solve status: Feasible
Search status: SearchCompleted, stop cause: SearchHasNotBeenStopped
Solve time: 0.98 sec
-------------------------------------------------------------------------------

Duty_0: absent
Duty_1: (start=530, end=1054, size=524, length=524)
Duty_2: (start=460, end=929, size=469, length=469)
Duty_3: absent
Duty_4: (start=365, end=834, size=469, length=469)
Duty_5: absent
Duty_6: (start=810, end=1279, size=469, length=469)
Duty_7: (start=335, end=784, size=449, length=449)
Duty_8: absent
Duty_9: absent
Duty_10: (start=815, end=1289, size=474, length=474)
Duty_11: absent
Duty_12: (start=350, end=814, size=464, length=464)
Duty_13: absent
Duty_14: (start=380, end=844, size=464, length=464)
Duty_15: absent
Duty_16: absent
Duty_17: absent
Duty_18: absent
Duty_19: absent
Duty_20: absent
Duty_21: absent
Duty_22: (start=785, end=1244, size=459, length=459)
Duty_23: absent
Duty_24: absent
Duty_25: absent
Duty_26: (start=1325, end=1379, size=54, length=54)
Duty_27: (start=905, end=1409, size=504, length=504)
Duty_28: absent
Duty_29: absent
Duty_30: absent
Duty_31: (start=930, end=1439, size=509, length=509)
Duty_32: (start=1300, end=1494, size=194, length=194)
Duty_33: (start=835, end=1309, size=474, length=474)
Duty_34: (start=855, end=1329, size=474, length=474)
Duty_35: (start=345, end=799, size=454, length=454)
Duty_36: (start=445, end=904, size=459, length=459)
Duty_37: absent
Duty_38: absent
Duty_39: absent
Duty_40: absent
Duty_41: (start=480, end=974, size=494, length=494)
Duty_42: absent
Duty_43: absent
Duty_44: absent
Duty_45: absent
Duty_46: (start=975, end=1464, size=489, length=489)
Duty_47: (start=1065, end=1469, size=404, length=404)
Duty_48: absent
Duty_49: (start=330, end=774, size=444, length=444)
Trip_00 | Duty_00: absent
Trip_00 | Duty_01: absent
Trip_00 | Duty_02: absent
Trip_00 | Duty_03: absent
Trip_00 | Duty_04: absent
Trip_00 | Duty_05: absent
Trip_00 | Duty_06: absent
Trip_00 | Duty_07: absent
Trip_00 | Duty_08: absent
Trip_00 | Duty_09: absent
Trip_00 | Duty_10: absent
Trip_00 | Duty_11: absent
Trip_00 | Duty_12: absent
Trip_00 | Duty_13: absent
Trip_00 | Duty_14: absent
Trip_00 | Duty_15: absent
Trip_00 | Duty_16: absent
Trip_00 | Duty_17: absent
Trip_00 | Duty_18: absent
Trip_00 | Duty_19: absent
Trip_00 | Duty_20: absent
Trip_00 | Duty_21: absent
Trip_00 | Duty_22: absent
Trip_00 | Duty_23: absent
Trip_00 | Duty_24: absent
Trip_00 | Duty_25: absent
Trip_00 | Duty_26: absent
Trip_00 | Duty_27: absent
Trip_00 | Duty_28: absent
Trip_00 | Duty_29: absent
Trip_00 | Duty_30: absent
Trip_00 | Duty_31: absent
Trip_00 | Duty_32: absent
Trip_00 | Duty_33: absent
Trip_00 | Duty_34: absent
Trip_00 | Duty_35: absent
Trip_00 | Duty_36: absent
Trip_00 | Duty_37: absent
Trip_00 | Duty_38: absent
Trip_00 | Duty_39: absent
Trip_00 | Duty_40: absent
Trip_00 | Duty_41: absent
Trip_00 | Duty_42: absent
Trip_00 | Duty_43: absent
Trip_00 | Duty_44: absent
Trip_00 | Duty_45: absent
Trip_00 | Duty_46: absent
Trip_00 | Duty_47: absent
Trip_00 | Duty_48: absent
Trip_00 | Duty_49: (start=330, end=384, size=54, length=54)
Trip_01 | Duty_00: absent
Trip_01 | Duty_01: absent
Trip_01 | Duty_02: absent
Trip_01 | Duty_03: absent
Trip_01 | Duty_04: absent
Trip_01 | Duty_05: absent
Trip_01 | Duty_06: absent
Trip_01 | Duty_07: absent
Trip_01 | Duty_08: absent
Trip_01 | Duty_09: absent
Trip_01 | Duty_10: absent
Trip_01 | Duty_11: absent
Trip_01 | Duty_12: absent
Trip_01 | Duty_13: absent
Trip_01 | Duty_14: absent
Trip_01 | Duty_15: absent
Trip_01 | Duty_16: absent
Trip_01 | Duty_17: absent
Trip_01 | Duty_18: absent
Trip_01 | Duty_19: absent
Trip_01 | Duty_20: absent
Trip_01 | Duty_21: absent
Trip_01 | Duty_22: absent
Trip_01 | Duty_23: absent
Trip_01 | Duty_24: absent
Trip_01 | Duty_25: absent
Trip_01 | Duty_26: absent
Trip_01 | Duty_27: absent
Trip_01 | Duty_28: absent
Trip_01 | Duty_29: absent
Trip_01 | Duty_30: absent
Trip_01 | Duty_31: absent
Trip_01 | Duty_32: absent
Trip_01 | Duty_33: absent
Trip_01 | Duty_34: absent
Trip_01 | Duty_35: (start=345, end=399, size=54, length=54)
Trip_01 | Duty_36: absent
Trip_01 | Duty_37: absent
Trip_01 | Duty_38: absent
Trip_01 | Duty_39: absent
Trip_01 | Duty_40: absent
Trip_01 | Duty_41: absent
Trip_01 | Duty_42: absent
Trip_01 | Duty_43: absent
Trip_01 | Duty_44: absent
Trip_01 | Duty_45: absent
Trip_01 | Duty_46: absent
Trip_01 | Duty_47: absent
Trip_01 | Duty_48: absent
Trip_01 | Duty_49: absent
Trip_02 | Duty_00: absent
Trip_02 | Duty_01: absent
Trip_02 | Duty_02: absent
Trip_02 | Duty_03: absent
Trip_02 | Duty_04: (start=365, end=419, size=54, length=54)
Trip_02 | Duty_05: absent
Trip_02 | Duty_06: absent
Trip_02 | Duty_07: absent
Trip_02 | Duty_08: absent
Trip_02 | Duty_09: absent
Trip_02 | Duty_10: absent
Trip_02 | Duty_11: absent
Trip_02 | Duty_12: absent
Trip_02 | Duty_13: absent
Trip_02 | Duty_14: absent
Trip_02 | Duty_15: absent
Trip_02 | Duty_16: absent
Trip_02 | Duty_17: absent
Trip_02 | Duty_18: absent
Trip_02 | Duty_19: absent
Trip_02 | Duty_20: absent
Trip_02 | Duty_21: absent
Trip_02 | Duty_22: absent
Trip_02 | Duty_23: absent
Trip_02 | Duty_24: absent
Trip_02 | Duty_25: absent
Trip_02 | Duty_26: absent
Trip_02 | Duty_27: absent
Trip_02 | Duty_28: absent
Trip_02 | Duty_29: absent
Trip_02 | Duty_30: absent
Trip_02 | Duty_31: absent
Trip_02 | Duty_32: absent
Trip_02 | Duty_33: absent
Trip_02 | Duty_34: absent
Trip_02 | Duty_35: absent
Trip_02 | Duty_36: absent
Trip_02 | Duty_37: absent
Trip_02 | Duty_38: absent
Trip_02 | Duty_39: absent
Trip_02 | Duty_40: absent
Trip_02 | Duty_41: absent
Trip_02 | Duty_42: absent
Trip_02 | Duty_43: absent
Trip_02 | Duty_44: absent
Trip_02 | Duty_45: absent
Trip_02 | Duty_46: absent
Trip_02 | Duty_47: absent
Trip_02 | Duty_48: absent
Trip_02 | Duty_49: absent
Trip_03 | Duty_00: absent
Trip_03 | Duty_01: absent
Trip_03 | Duty_02: absent
Trip_03 | Duty_03: absent
Trip_03 | Duty_04: absent
Trip_03 | Duty_05: absent
Trip_03 | Duty_06: absent
Trip_03 | Duty_07: absent
Trip_03 | Duty_08: absent
Trip_03 | Duty_09: absent
Trip_03 | Duty_10: absent
Trip_03 | Duty_11: absent
Trip_03 | Duty_12: absent
Trip_03 | Duty_13: absent
Trip_03 | Duty_14: (start=380, end=434, size=54, length=54)
Trip_03 | Duty_15: absent
Trip_03 | Duty_16: absent
Trip_03 | Duty_17: absent
Trip_03 | Duty_18: absent
Trip_03 | Duty_19: absent
Trip_03 | Duty_20: absent
Trip_03 | Duty_21: absent
Trip_03 | Duty_22: absent
Trip_03 | Duty_23: absent
Trip_03 | Duty_24: absent
Trip_03 | Duty_25: absent
Trip_03 | Duty_26: absent
Trip_03 | Duty_27: absent
Trip_03 | Duty_28: absent
Trip_03 | Duty_29: absent
Trip_03 | Duty_30: absent
Trip_03 | Duty_31: absent
Trip_03 | Duty_32: absent
Trip_03 | Duty_33: absent
Trip_03 | Duty_34: absent
Trip_03 | Duty_35: absent
Trip_03 | Duty_36: absent
Trip_03 | Duty_37: absent
Trip_03 | Duty_38: absent
Trip_03 | Duty_39: absent
Trip_03 | Duty_40: absent
Trip_03 | Duty_41: absent
Trip_03 | Duty_42: absent
Trip_03 | Duty_43: absent
Trip_03 | Duty_44: absent
Trip_03 | Duty_45: absent
Trip_03 | Duty_46: absent
Trip_03 | Duty_47: absent
Trip_03 | Duty_48: absent
Trip_03 | Duty_49: absent
Trip_04 | Duty_00: absent
Trip_04 | Duty_01: absent
Trip_04 | Duty_02: absent
Trip_04 | Duty_03: absent
Trip_04 | Duty_04: absent
Trip_04 | Duty_05: absent
Trip_04 | Duty_06: absent
Trip_04 | Duty_07: (start=395, end=449, size=54, length=54)
Trip_04 | Duty_08: absent
Trip_04 | Duty_09: absent
Trip_04 | Duty_10: absent
Trip_04 | Duty_11: absent
Trip_04 | Duty_12: absent
Trip_04 | Duty_13: absent
Trip_04 | Duty_14: absent
Trip_04 | Duty_15: absent
Trip_04 | Duty_16: absent
Trip_04 | Duty_17: absent
Trip_04 | Duty_18: absent
Trip_04 | Duty_19: absent
Trip_04 | Duty_20: absent
Trip_04 | Duty_21: absent
Trip_04 | Duty_22: absent
Trip_04 | Duty_23: absent
Trip_04 | Duty_24: absent
Trip_04 | Duty_25: absent
Trip_04 | Duty_26: absent
Trip_04 | Duty_27: absent
Trip_04 | Duty_28: absent
Trip_04 | Duty_29: absent
Trip_04 | Duty_30: absent
Trip_04 | Duty_31: absent
Trip_04 | Duty_32: absent
Trip_04 | Duty_33: absent
Trip_04 | Duty_34: absent
Trip_04 | Duty_35: absent
Trip_04 | Duty_36: absent
Trip_04 | Duty_37: absent
Trip_04 | Duty_38: absent
Trip_04 | Duty_39: absent
Trip_04 | Duty_40: absent
Trip_04 | Duty_41: absent
Trip_04 | Duty_42: absent
Trip_04 | Duty_43: absent
Trip_04 | Duty_44: absent
Trip_04 | Duty_45: absent
Trip_04 | Duty_46: absent
Trip_04 | Duty_47: absent
Trip_04 | Duty_48: absent
Trip_04 | Duty_49: absent
Trip_05 | Duty_00: absent
Trip_05 | Duty_01: absent
Trip_05 | Duty_02: absent
Trip_05 | Duty_03: absent
Trip_05 | Duty_04: absent
Trip_05 | Duty_05: absent
Trip_05 | Duty_06: absent
Trip_05 | Duty_07: absent
Trip_05 | Duty_08: absent
Trip_05 | Duty_09: absent
Trip_05 | Duty_10: absent
Trip_05 | Duty_11: absent
Trip_05 | Duty_12: (start=410, end=464, size=54, length=54)
Trip_05 | Duty_13: absent
Trip_05 | Duty_14: absent
Trip_05 | Duty_15: absent
Trip_05 | Duty_16: absent
Trip_05 | Duty_17: absent
Trip_05 | Duty_18: absent
Trip_05 | Duty_19: absent
Trip_05 | Duty_20: absent
Trip_05 | Duty_21: absent
Trip_05 | Duty_22: absent
Trip_05 | Duty_23: absent
Trip_05 | Duty_24: absent
Trip_05 | Duty_25: absent
Trip_05 | Duty_26: absent
Trip_05 | Duty_27: absent
Trip_05 | Duty_28: absent
Trip_05 | Duty_29: absent
Trip_05 | Duty_30: absent
Trip_05 | Duty_31: absent
Trip_05 | Duty_32: absent
Trip_05 | Duty_33: absent
Trip_05 | Duty_34: absent
Trip_05 | Duty_35: absent
Trip_05 | Duty_36: absent
Trip_05 | Duty_37: absent
