-------------------------------------------------------------------------------
Model constraints: 26540, variables: integer: 0, interval: 1530, sequence: 30
Solve status: Feasible
Search status: SearchCompleted, stop cause: SearchHasNotBeenStopped
Solve time: 3.84 sec
-------------------------------------------------------------------------------

Duty_0: absent
Duty_1: (start=450, end=679, size=229, length=229)
Duty_2: absent
Duty_3: absent
Duty_4: (start=335, end=689, size=354, length=354)
Duty_5: absent
Duty_6: (start=600, end=654, size=54, length=54)
Duty_7: absent
Duty_8: (start=470, end=699, size=229, length=229)
Duty_9: (start=530, end=639, size=109, length=109)
Duty_10: absent
Duty_11: absent
Duty_12: (start=350, end=674, size=324, length=324)
Duty_13: (start=365, end=714, size=349, length=349)
Duty_14: absent
Duty_15: (start=435, end=704, size=269, length=269)
Duty_16: absent
Duty_17: (start=490, end=709, size=219, length=219)
Duty_18: absent
Duty_19: absent
Duty_20: absent
Duty_21: absent
Duty_22: absent
Duty_23: absent
Duty_24: (start=345, end=689, size=344, length=344)
Duty_25: absent
Duty_26: (start=380, end=669, size=289, length=289)
Duty_27: absent
Duty_28: absent
Duty_29: (start=330, end=664, size=334, length=334)
Trip_00 | Duty_00: absent
Trip_00 | Duty_01: absent
Trip_00 | Duty_02: absent
Trip_00 | Duty_03: absent
Trip_00 | Duty_04: absent
Trip_00 | Duty_05: absent
Trip_00 | Duty_06: absent
Trip_00 | Duty_07: absent
Trip_00 | Duty_08: absent
Trip_00 | Duty_09: absent
Trip_00 | Duty_10: absent
Trip_00 | Duty_11: absent
Trip_00 | Duty_12: absent
Trip_00 | Duty_13: absent
Trip_00 | Duty_14: absent
Trip_00 | Duty_15: absent
Trip_00 | Duty_16: absent
Trip_00 | Duty_17: absent
Trip_00 | Duty_18: absent
Trip_00 | Duty_19: absent
Trip_00 | Duty_20: absent
Trip_00 | Duty_21: absent
Trip_00 | Duty_22: absent
Trip_00 | Duty_23: absent
Trip_00 | Duty_24: absent
Trip_00 | Duty_25: absent
Trip_00 | Duty_26: absent
Trip_00 | Duty_27: absent
Trip_00 | Duty_28: absent
Trip_00 | Duty_29: (start=330, end=384, size=54, length=54)
Trip_01 | Duty_00: absent
Trip_01 | Duty_01: absent
Trip_01 | Duty_02: absent
Trip_01 | Duty_03: absent
Trip_01 | Duty_04: (start=335, end=389, size=54, length=54)
Trip_01 | Duty_05: absent
Trip_01 | Duty_06: absent
Trip_01 | Duty_07: absent
Trip_01 | Duty_08: absent
Trip_01 | Duty_09: absent
Trip_01 | Duty_10: absent
Trip_01 | Duty_11: absent
Trip_01 | Duty_12: absent
Trip_01 | Duty_13: absent
Trip_01 | Duty_14: absent
Trip_01 | Duty_15: absent
Trip_01 | Duty_16: absent
Trip_01 | Duty_17: absent
Trip_01 | Duty_18: absent
Trip_01 | Duty_19: absent
Trip_01 | Duty_20: absent
Trip_01 | Duty_21: absent
Trip_01 | Duty_22: absent
Trip_01 | Duty_23: absent
Trip_01 | Duty_24: absent
Trip_01 | Duty_25: absent
Trip_01 | Duty_26: absent
Trip_01 | Duty_27: absent
Trip_01 | Duty_28: absent
Trip_01 | Duty_29: absent
Trip_02 | Duty_00: absent
Trip_02 | Duty_01: absent
Trip_02 | Duty_02: absent
Trip_02 | Duty_03: absent
Trip_02 | Duty_04: absent
Trip_02 | Duty_05: absent
Trip_02 | Duty_06: absent
Trip_02 | Duty_07: absent
Trip_02 | Duty_08: absent
Trip_02 | Duty_09: absent
Trip_02 | Duty_10: absent
Trip_02 | Duty_11: absent
Trip_02 | Duty_12: absent
Trip_02 | Duty_13: absent
Trip_02 | Duty_14: absent
Trip_02 | Duty_15: absent
Trip_02 | Duty_16: absent
Trip_02 | Duty_17: absent
Trip_02 | Duty_18: absent
Trip_02 | Duty_19: absent
Trip_02 | Duty_20: absent
Trip_02 | Duty_21: absent
Trip_02 | Duty_22: absent
Trip_02 | Duty_23: absent
Trip_02 | Duty_24: (start=345, end=399, size=54, length=54)
Trip_02 | Duty_25: absent
Trip_02 | Duty_26: absent
Trip_02 | Duty_27: absent
Trip_02 | Duty_28: absent
Trip_02 | Duty_29: absent
Trip_03 | Duty_00: absent
Trip_03 | Duty_01: absent
Trip_03 | Duty_02: absent
Trip_03 | Duty_03: absent
Trip_03 | Duty_04: absent
Trip_03 | Duty_05: absent
Trip_03 | Duty_06: absent
Trip_03 | Duty_07: absent
Trip_03 | Duty_08: absent
Trip_03 | Duty_09: absent
Trip_03 | Duty_10: absent
Trip_03 | Duty_11: absent
Trip_03 | Duty_12: (start=350, end=404, size=54, length=54)
Trip_03 | Duty_13: absent
Trip_03 | Duty_14: absent
Trip_03 | Duty_15: absent
Trip_03 | Duty_16: absent
Trip_03 | Duty_17: absent
Trip_03 | Duty_18: absent
Trip_03 | Duty_19: absent
Trip_03 | Duty_20: absent
Trip_03 | Duty_21: absent
Trip_03 | Duty_22: absent
Trip_03 | Duty_23: absent
Trip_03 | Duty_24: absent
Trip_03 | Duty_25: absent
Trip_03 | Duty_26: absent
Trip_03 | Duty_27: absent
Trip_03 | Duty_28: absent
Trip_03 | Duty_29: absent
Trip_04 | Duty_00: absent
Trip_04 | Duty_01: absent
Trip_04 | Duty_02: absent
Trip_04 | Duty_03: absent
Trip_04 | Duty_04: absent
Trip_04 | Duty_05: absent
Trip_04 | Duty_06: absent
Trip_04 | Duty_07: absent
Trip_04 | Duty_08: absent
Trip_04 | Duty_09: absent
Trip_04 | Duty_10: absent
Trip_04 | Duty_11: absent
Trip_04 | Duty_12: absent
Trip_04 | Duty_13: (start=365, end=419, size=54, length=54)
Trip_04 | Duty_14: absent
Trip_04 | Duty_15: absent
Trip_04 | Duty_16: absent
Trip_04 | Duty_17: absent
Trip_04 | Duty_18: absent
Trip_04 | Duty_19: absent
Trip_04 | Duty_20: absent
Trip_04 | Duty_21: absent
Trip_04 | Duty_22: absent
Trip_04 | Duty_23: absent
Trip_04 | Duty_24: absent
Trip_04 | Duty_25: absent
Trip_04 | Duty_26: absent
Trip_04 | Duty_27: absent
Trip_04 | Duty_28: absent
Trip_04 | Duty_29: absent
Trip_05 | Duty_00: absent
Trip_05 | Duty_01: absent
Trip_05 | Duty_02: absent
Trip_05 | Duty_03: absent
Trip_05 | Duty_04: absent
Trip_05 | Duty_05: absent
Trip_05 | Duty_06: absent
Trip_05 | Duty_07: absent
Trip_05 | Duty_08: absent
Trip_05 | Duty_09: absent
Trip_05 | Duty_10: absent
Trip_05 | Duty_11: absent
Trip_05 | Duty_12: absent
Trip_05 | Duty_13: absent
Trip_05 | Duty_14: absent
Trip_05 | Duty_15: absent
Trip_05 | Duty_16: absent
Trip_05 | Duty_17: absent
Trip_05 | Duty_18: absent
Trip_05 | Duty_19: absent
Trip_05 | Duty_20: absent
Trip_05 | Duty_21: absent
Trip_05 | Duty_22: absent
Trip_05 | Duty_23: absent
Trip_05 | Duty_24: absent
Trip_05 | Duty_25: absent
Trip_05 | Duty_26: (start=380, end=434, size=54, length=54)
Trip_05 | Duty_27: absent
Trip_05 | Duty_28: absent
Trip_05 | Duty_29: absent
Trip_06 | Duty_00: absent
Trip_06 | Duty_01: absent
Trip_06 | Duty_02: absent
Trip_06 | Duty_03: absent
Trip_06 | Duty_04: absent
Trip_06 | Duty_05: absent
Trip_06 | Duty_06: absent
Trip_06 | Duty_07: absent
Trip_06 | Duty_08: absent
Trip_06 | Duty_09: absent
Trip_06 | Duty_10: absent
Trip_06 | Duty_11: absent
Trip_06 | Duty_12: absent
Trip_06 | Duty_13: absent
Trip_06 | Duty_14: absent
Trip_06 | Duty_15: absent
Trip_06 | Duty_16: absent
Trip_06 | Duty_17: absent
Trip_06 | Duty_18: absent
Trip_06 | Duty_19: absent
Trip_06 | Duty_20: absent
Trip_06 | Duty_21: absent
Trip_06 | Duty_22: absent
Trip_06 | Duty_23: absent
Trip_06 | Duty_24: absent
Trip_06 | Duty_25: absent
Trip_06 | Duty_26: absent
Trip_06 | Duty_27: absent
Trip_06 | Duty_28: absent
Trip_06 | Duty_29: (start=385, end=439, size=54, length=54)
Trip_07 | Duty_00: absent
Trip_07 | Duty_01: absent
Trip_07 | Duty_02: absent
Trip_07 | Duty_03: absent
Trip_07 | Duty_04: (start=395, end=449, size=54, length=54)
Trip_07 | Duty_05: absent
Trip_07 | Duty_06: absent
Trip_07 | Duty_07: absent
Trip_07 | Duty_08: absent
Trip_07 | Duty_09: absent
Trip_07 | Duty_10: absent
Trip_07 | Duty_11: absent
Trip_07 | Duty_12: absent
Trip_07 | Duty_13: absent
Trip_07 | Duty_14: absent
Trip_07 | Duty_15: absent
Trip_07 | Duty_16: absent
Trip_07 | Duty_17: absent
Trip_07 | Duty_18: absent
Trip_07 | Duty_19: absent
Trip_07 | Duty_20: absent
Trip_07 | Duty_21: absent
Trip_07 | Duty_22: absent
Trip_07 | Duty_23: absent
Trip_07 | Duty_24: absent
Trip_07 | Duty_25: absent
Trip_07 | Duty_26: absent
Trip_07 | Duty_27: absent
Trip_07 | Duty_28: absent
Trip_07 | Duty_29: absent
Trip_08 | Duty_00: absent
Trip_08 | Duty_01: absent
Trip_08 | Duty_02: absent
Trip_08 | Duty_03: absent
Trip_08 | Duty_04: absent
Trip_08 | Duty_05: absent
Trip_08 | Duty_06: absent
Trip_08 | Duty_07: absent
Trip_08 | Duty_08: absent
Trip_08 | Duty_09: absent
Trip_08 | Duty_10: absent
Trip_08 | Duty_11: absent
Trip_08 | Duty_12: absent
Trip_08 | Duty_13: absent
Trip_08 | Duty_14: absent
Trip_08 | Duty_15: absent
Trip_08 | Duty_16: absent
Trip_08 | Duty_17: absent
Trip_08 | Duty_18: absent
Trip_08 | Duty_19: absent
Trip_08 | Duty_20: absent
Trip_08 | Duty_21: absent
Trip_08 | Duty_22: absent
Trip_08 | Duty_23: absent
Trip_08 | Duty_24: (start=405, end=459, size=54, length=54)
Trip_08 | Duty_25: absent
Trip_08 | Duty_26: absent
Trip_08 | Duty_27: absent
Trip_08 | Duty_28: absent
Trip_08 | Duty_29: absent
Trip_09 | Duty_00: absent
Trip_09 | Duty_01: absent
Trip_09 | Duty_02: absent
Trip_09 | Duty_03: absent
Trip_09 | Duty_04: absent
Trip_09 | Duty_05: absent
Trip_09 | Duty_06: absent
Trip_09 | Duty_07: absent
Trip_09 | Duty_08: absent
Trip_09 | Duty_09: absent
Trip_09 | Duty_10: absent
Trip_09 | Duty_11: absent
Trip_09 | Duty_12: (start=410, end=464, size=54, length=54)
Trip_09 | Duty_13: absent
Trip_09 | Duty_14: absent
Trip_09 | Duty_15: absent
Trip_09 | Duty_16: absent
Trip_09 | Duty_17: absent
Trip_09 | Duty_18: absent
Trip_09 | Duty_19: absent
Trip_09 | Duty_20: absent
Trip_09 | Duty_21: absent
Trip_09 | Duty_22: absent
Trip_09 | Duty_23: absent
Trip_09 | Duty_24: absent
Trip_09 | Duty_25: absent
Trip_09 | Duty_26: absent
Trip_09 | Duty_27: absent
Trip_09 | Duty_28: absent
Trip_09 | Duty_29: absent
Trip_10 | Duty_00: absent
Trip_10 | Duty_01: absent
Trip_10 | Duty_02: absent
Trip_10 | Duty_03: absent
Trip_10 | Duty_04: absent
